num_units,hidden_layers,batch_size,lr,epochs,fold_splits
200,2,512,1.00E-05,100,10
150,2,512,1.00E-05,100,10
100,2,512,1.00E-05,100,10
80,2,512,1.00E-05,100,10
60,2,512,1.00E-05,100,10
40,2,512,1.00E-05,100,10
