num_units,hidden_layers,batch_size,lr,epochs,fold_splits
300,2,512,1.00E-05,50,2
250,2,512,1.00E-05,50,2
200,2,512,1.00E-05,50,2
150,2,512,1.00E-05,50,2
100,2,512,1.00E-05,50,2
50,2,512,1.00E-05,50,2
