num_units,hidden_layers,batch_size,lr,epochs,fold_splits
50,2,1024,1.00E-05,50,2
50,2,512,1.00E-05,50,2
50,2,256,1.00E-05,50,2
50,2,128,1.00E-05,50,2
50,2,64,1.00E-05,50,2
50,2,32,1.00E-05,50,2
50,2,16,1.00E-05,50,2
