num_units,hidden_layers,batch_size,lr,epochs,fold_splits
50,2,512,1.00E-05,20,2
50,2,512,5.00E-06,20,2
50,2,512,1.00E-06,20,2
50,2,512,5.00E-07,20,2
50,2,512,1.00E-07,20,2
