num_units,hidden_layers,batch_size,lr,epochs,fold_splits
200,1,512,1.00E-05,50,2
200,2,512,1.00E-05,50,2
200,3,512,1.00E-05,50,2
200,4,512,1.00E-05,50,2
400,5,512,1.00E-05,50,2
800,6,512,1.00E-05,50,2
